관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자
천안시 동남구,건설과,2156,36.8065637,127.1612516,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,2157,36.80643461,127.1612031,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,2158,36.80637381,127.1611833,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,2159,36.80631302,127.1611552,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,2160,36.80625901,127.1611186,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,381,36.80826253,127.1621875,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,382,36.80788234,127.1617944,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,383,36.80767747,127.1617015,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,384,36.80742758,127.1615749,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,385,36.80707183,127.1614369,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,386,36.80946064,127.1640923,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,387,36.80960895,127.1643644,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,388,36.80904704,127.163433,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,389,36.80926509,127.1637725,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,390,36.8084922,127.1625307,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,391,36.80877056,127.162987,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23
천안시 동남구,건설과,,36.79209307,127.1439104,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79200778,127.1436469,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79192248,127.1433947,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79183263,127.143176,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79173385,127.1428902,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79158124,127.1424081,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79242556,127.1446673,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79257406,127.1448132,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79148701,127.142083,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79164406,127.1426211,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79229968,127.1444374,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79218287,127.1441626,,동남구 용곡동 320-5,CML,2024-07-23
천안시 동남구,건설과,,36.79045818,127.127561,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79059384,127.1270962,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.7905634,127.1273304,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79067523,127.1268275,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79038758,127.1282667,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79036757,127.1280286,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79040386,127.1277934,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79072199,127.1273457,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79089991,127.1273852,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.7908131,127.1264076,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79091265,127.1260016,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.79102533,127.1259626,,동남구 신방동 67-3,LED,2024-07-23
천안시 동남구,건설과,,36.80789011,127.1489492,명동길 57,동남구 대흥동 89-1,LED,2024-07-23
천안시 동남구,건설과,,36.80755028,127.1486824,명동길 57,동남구 대흥동 89-1,LED,2024-07-23
